ID	Z_meta	P_meta	Direction	HetISq	HetPVal	FDR_meta	TargetFullName	Target	EntrezGeneSymbol	MODEL_AFA	Rsq_AFA	Z_AFA	P_AFA	FDR_AFA	MODEL_CHN	Rsq_CHN	Z_CHN	P_CHN	FDR_CHN	MODEL_CAU	Rsq_CAU	Z_CAU	P_CAU	FDR_CAU	MODEL_HIS	Rsq_HIS	Z_HIS	P_HIS	FDR_HIS
seq.21995.20	2.409	0.016	??+?	0	1	0.107211401425178	NOS	NOS	NOS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.035	2.41	0.016	0.0823979328165375	NA	NA	NA	NA	NA
seq.3000.66	2.408	0.01606	-+++	62.2	0.04717	0.107358436018957	Mannose-binding protein C	MBL	MBL2	lasso	0.44	-1.68	0.0933	0.633223076923077	enet	0.59	0.0586	0.953	0.988717206132879	enet	0.53	3	0.00271	0.055159797979798	enet	0.39	1.39	0.165	0.906975
seq.15668.19	2.404	0.0162	??+?	0	1	0.107662635294118	Bone morphogenetic protein 8B	BMP-8	BMP8B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.076	2.4	0.0162	0.0827861538461538	NA	NA	NA	NA	NA
seq.7927.16	-2.404	0.0162	?-??	0	1	0.107662635294118	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	SIA7E	ST6GALNAC5	NA	NA	NA	NA	NA	top1	0.037	-2.4	0.0162	0.4186875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5494.52	2.404	0.01622	+++-	0	0.4033	0.107662635294118	Small nuclear ribonucleoprotein F	RUXF	SNRPF	lasso	0.063	0.645	0.519	0.966509207365893	top1	0.086	0.0722	0.942	0.986247440273038	enet	0.14	2.7	0.00692	0.055159797979798	top1	0.082	-0.993	0.32	0.921247563352827
seq.25073.13	-2.402	0.0163	----	0	0.9975	0.107939671361502	Ubiquitin conjugation factor E4 A	UBE4A	UBE4A	lasso	0.58	-0.526	0.599	0.966509207365893	top1	0.54	-0.758	0.448	0.944247557003257	top1	0.66	-2.2	0.0281	0.119410021321962	top1	0.58	-0.376	0.707	0.989177168272795
seq.25464.1	2.392	0.01673	+?++	0	0.7335	0.110401285046729	Cytochrome P450 2C19	CP2CJ	CYP2C19	top1	0.037	1.43	0.153	0.761621451104101	NA	NA	NA	NA	NA	top1	0.13	2.07	0.0383	0.1490857421875	lasso	0.071	0.1	0.92	0.989177168272795
seq.8773.172	-2.392	0.01675	+--+	0	0.7241	0.110401285046729	EMILIN-3:region 1	EMIL3:region 1	EMILIN3	lasso	0.24	0.159	0.874	0.968118384401114	blup	0.035	-1.34	0.181	0.831202702702703	blup	0.029	-2.29	0.0223	0.102169885057471	enet	0.072	0.0838	0.933	0.989177168272795
seq.23569.53	2.385	0.01707	-+++	42.4	0.1573	0.111664583333333	START domain-containing protein 10	STA10	STARD10	lasso	0.067	-0.392	0.695	0.966509207365893	top1	0.061	2.49	0.0126	0.399753846153846	lasso	0.12	1.61	0.107	0.299089761570828	enet	0.089	1.38	0.166	0.906975
seq.13665.35	2.385	0.0171	??+?	0	1	0.111664583333333	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha	PP2A, subunit B	PPP2R3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.066	2.39	0.0171	0.0856288944723618	NA	NA	NA	NA	NA
seq.8922.4	2.385	0.0171	??+?	0	1	0.111664583333333	Transmembrane and coiled-coil domains protein 3:region 1	TMCC3:region 1	TMCC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.11	2.39	0.0171	0.0856288944723618	NA	NA	NA	NA	NA
seq.17738.7	2.385	0.0171	??++	0	0.7409	0.111664583333333	Cornulin	CRNN	CRNN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.058	2.27	0.0232	0.105806864988558	top1	0.065	0.801	0.423	0.949429477020602
seq.12484.67	2.381	0.01726	-?+?	32.1	0.2248	0.11219	Phosphatidylinositol transfer protein beta isoform	PIPNB	PITPNB	enet	0.082	-0.398	0.691	0.966509207365893	NA	NA	NA	NA	NA	top1	0.057	2.64	0.00822	0.055159797979798	NA	NA	NA	NA	NA
seq.3346.72	2.381	0.01726	+?+?	0	0.5515	0.11219	Aurora kinase B	AURKB	AURKB	blup	0.068	0.189	0.85	0.968118384401114	NA	NA	NA	NA	NA	blup	0.061	2.45	0.0144	0.0767358288770053	NA	NA	NA	NA	NA
seq.5063.12	-2.38	0.0173	-???	0	1	0.112191494252874	Natural killer cell receptor 2B4	CD244	CD244	top1	0.083	-2.38	0.0173	0.450118032786885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.3807.1	2.376	0.0175	?+??	0	1	0.113228211009174	Fibroblast growth factor 23	FGF23	FGF23	NA	NA	NA	NA	NA	enet	0.043	2.38	0.0175	0.425105882352941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.12350.86	-2.372	0.0177	??-?	0	1	0.113999315068493	Protein C-ets-2	ETS2	ETS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.044	-2.37	0.0177	0.087533746898263	NA	NA	NA	NA	NA
seq.15504.39	-2.372	0.0177	??-?	0	1	0.113999315068493	Baculoviral IAP repeat-containing protein 7 Isoform beta	Livin B	BIRC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.048	-2.37	0.0177	0.087533746898263	NA	NA	NA	NA	NA
seq.22517.106	2.37	0.0178	??+?	0	1	0.114382232346241	E3 SUMO-protein ligase NSE2	NSE2	NSMCE2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.045	2.37	0.0178	0.0875935802469136	NA	NA	NA	NA	NA
seq.3196.6	2.368	0.01787	+??+	0	0.9415	0.114571068181818	Hyaluronan and proteoglycan link protein 1	HPLN1	HAPLN1	top1	0.061	1.98	0.0475	0.581046511627907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.045	1.3	0.194	0.906975
seq.25240.1	-2.359	0.0183	??-?	0	1	0.116797058823529	Protein-lysine N-methyltransferase EEF2KMT	EF2KT	EEF2KMT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.063	-2.36	0.0183	0.0887394160583942	NA	NA	NA	NA	NA
seq.22465.43	2.359	0.0183	??+?	0	1	0.116797058823529	Transcription factor HES-1	HES1	HES1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.061	2.36	0.0183	0.0887394160583942	NA	NA	NA	NA	NA
seq.9282.12	2.358	0.01839	--++	81.3	0.00113	0.117106523702032	Cysteine-rich secretory protein 2	CRIS2	CRISP2	blup	0.13	-0.843	0.399	0.955858006042296	enet	0.21	-1.29	0.197	0.831202702702703	enet	0.26	2.77	0.0056	0.055159797979798	enet	0.15	3.39	0.00069	0.1198875
seq.7071.23	-2.355	0.01854	-?-?	0	0.7418	0.117795810810811	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	MA1B1	MAN1B1	top1	0.088	-0.433	0.665	0.966509207365893	NA	NA	NA	NA	NA	blup	0.12	-2.34	0.0194	0.0929427884615385	NA	NA	NA	NA	NA
seq.9317.4	2.351	0.0187	??+?	0	1	0.118545393258427	Leucine-rich repeat-containing protein 25:Extracellular domain	LRC25:ECD	LRRC25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.052	2.35	0.0187	0.0900219806763285	NA	NA	NA	NA	NA
seq.21238.40	2.35	0.01878	?+++	0	0.8265	0.118785605381166	CDK5 regulatory subunit-associated protein 3	CK5P3	CDK5RAP3	NA	NA	NA	NA	NA	top1	0.093	0.456	0.649	0.969916564417178	enet	0.17	2.39	0.017	0.0855580808080808	lasso	0.12	0.00391	0.997	0.998718502519798
seq.6713.4	2.348	0.01888	+++-	0	0.7719	0.11915096196868	Low-density lipoprotein receptor-related protein 11	LRP11	LRP11	lasso	0.23	1.19	0.234	0.837088036117381	enet	0.16	0.611	0.541	0.960562747688243	enet	0.45	2.15	0.0319	0.12922093495935	lasso	0.29	-0.49	0.624	0.989038461538462
seq.25262.6	2.346	0.01896	+?+-	0	0.4291	0.11937416481069	Centromere/kinetochore protein zw10 homolog	ZW10	ZW10	lasso	0.21	0.304	0.761	0.966509207365893	NA	NA	NA	NA	NA	enet	0.21	2.57	0.0103	0.0645531446540881	lasso	0.16	-0.723	0.47	0.953709468223087
seq.3170.6	-2.346	0.019	??-?	0	1	0.11937416481069	Methionine aminopeptidase 2	AMPM2	METAP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.012	-2.34	0.019	0.0912457831325301	NA	NA	NA	NA	NA
seq.5658.64	-2.344	0.01907	-+--	0	0.4694	0.119547711111111	Coagulation factor XIII B chain	coagulation factor XIII B	F13B	lasso	0.1	-1.67	0.0939	0.633223076923077	blup	0.12	0.451	0.652	0.972615384615385	lasso	0.11	-2.2	0.0277	0.119410021321962	lasso	0.17	-0.414	0.679	0.989177168272795
seq.9237.54	-2.339	0.01935	??--	0	0.982	0.121034035476718	Lysosomal acid phosphatase	Lysosomal acid phosphatase	ACP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.071	-2.29	0.0222	0.101946082949309	top1	0.085	-0.49	0.624	0.989038461538462
seq.15511.37	2.337	0.01946	-++-	35.1	0.2019	0.121352709251101	Neuronal pentraxin receptor	NPTXR	NPTXR	lasso	0.058	-1.12	0.261	0.870735729386892	top1	0.36	1.55	0.12	0.75	enet	0.083	2.51	0.0121	0.0679304225352113	enet	0.32	-0.319	0.749	0.989177168272795
seq.13102.1	2.335	0.01953	++++	0	0.8374	0.121352709251101	Protein FAM3D	FAM3D	FAM3D	enet	0.29	0.00267	0.998	0.998	top1	0.21	1.06	0.29	0.864482926829268	enet	0.34	2.06	0.0397	0.151865834932821	lasso	0.28	0.976	0.329	0.921247563352827
seq.2954.56	-2.335	0.01953	+---	0	0.87	0.121352709251101	Neutrophil collagenase	MMP-8	MMP8	lasso	0.38	0.109	0.913	0.975432633716994	top1	0.11	-0.727	0.467	0.944247557003257	top1	0.26	-2.33	0.0196	0.0934516746411483	top1	0.27	-0.424	0.672	0.989177168272795
seq.10449.31	2.333	0.01967	+?+?	0	0.731	0.121605470459519	Protein shisa-2 homolog	TMM46	SHISA2	top1	0.084	1.07	0.287	0.903964071856287	NA	NA	NA	NA	NA	blup	0.066	2.1	0.0354	0.140542231075697	NA	NA	NA	NA	NA
seq.3855.56	2.332	0.0197	+???	0	1	0.121605470459519	Peroxiredoxin-1	Peroxiredoxin-1	PRDX1	blup	0.027	2.33	0.0197	0.463979104477612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.18413.24	2.332	0.0197	?+??	0	1	0.121605470459519	ADP-ribosylation factor-like protein 4D	ARL4D	ARL4D	NA	NA	NA	NA	NA	top1	0.052	2.33	0.0197	0.452728301886792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.22055.31	2.328	0.01989	-?++	0	0.6853	0.122304793028322	Forkhead box protein O1A	FOXO1A	FOXO1	enet	0.34	-0.0832	0.934	0.979844930417495	NA	NA	NA	NA	NA	enet	0.28	2.39	0.0169	0.0852701265822785	enet	0.21	0.681	0.496	0.953709468223087
seq.19562.8	-2.328	0.0199	??-?	0	1	0.122304793028322	Ubiquitin carboxyl-terminal hydrolase 28	UBP28	USP28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.043	-2.33	0.0199	0.093982701421801	NA	NA	NA	NA	NA
seq.3484.60	-2.324	0.02015	+--+	3.6	0.3747	0.123548785249458	Angiotensinogen	Angiotensinogen	AGT	enet	0.055	0.311	0.756	0.966509207365893	top1	0.055	-2.11	0.0351	0.58464	enet	0.041	-1.98	0.0472	0.173240515653775	lasso	0.041	0.189	0.85	0.989177168272795
seq.19743.12	2.323	0.02019	+-++	24.2	0.2661	0.123548785249458	V-set and transmembrane domain-containing protein 1	VSTM1	VSTM1	enet	0.11	0.473	0.636	0.966509207365893	lasso	0.071	-1.04	0.296	0.864575539568345	enet	0.21	2.75	0.00598	0.055159797979798	enet	0.18	0.693	0.488	0.953709468223087
seq.21437.77	2.316	0.02056	+?+-	0	0.7124	0.125540606060606	Methylated-DNA--protein-cysteine methyltransferase	MGMT	MGMT	lasso	0.037	1.33	0.184	0.793241935483871	NA	NA	NA	NA	NA	enet	0.21	2.07	0.0389	0.150247480620155	enet	0.22	-0.107	0.915	0.989177168272795
seq.12329.21	2.311	0.02083	+++-	54.4	0.08633	0.126914535637149	Ribosomal protein S6 kinase alpha-1	KS6A1	RPS6KA1	top1	0.56	0.636	0.525	0.966509207365893	top1	0.23	0.873	0.383	0.92010650887574	top1	0.64	2.52	0.0118	0.0668107954545454	lasso	0.47	-2.1	0.0355	0.761604166666667
seq.20135.85	2.31	0.0209	??+?	0	1	0.127066594827586	mRNA-capping enzyme	MCE1	RNGTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.084	2.31	0.0209	0.0968690697674418	NA	NA	NA	NA	NA
seq.9974.8	2.305	0.02118	+++-	54.1	0.0883	0.128183340471092	Delta-like protein 3	DLL3	DLL3	lasso	0.39	0.869	0.385	0.953121725731895	enet	0.12	0.641	0.522	0.960562747688243	lasso	0.46	2.52	0.0118	0.0668107954545454	top1	0.32	-2.08	0.0372	0.761604166666667
seq.11572.4	2.304	0.0212	???+	0	1	0.128183340471092	Dynamin-2	DYN2	DNM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.048	2.3	0.0212	0.761604166666667
seq.14077.6	-2.304	0.02122	+--?	27.7	0.2506	0.128183340471092	Ficolin-3	Ficolin-3	FCN3	enet	0.2	0.886	0.375	0.945287539936102	lasso	0.24	-0.745	0.456	0.944247557003257	lasso	0.085	-2.59	0.00946	0.0614129641693811	NA	NA	NA	NA	NA
seq.9581.4	2.302	0.02134	??+-	73.3	0.05287	0.128265468085106	Pre-mRNA-processing factor 6:region 2	PRP6:region 2	PRPF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.05	2.64	0.00822	0.055159797979798	top1	0.032	-1.44	0.151	0.906975
seq.8955.60	2.302	0.02136	+?+-	64.6	0.05937	0.128265468085106	Glycosyltransferase 8 domain-containing protein 1	GL8D1	GLT8D1	top1	0.16	0.964	0.335	0.933975265017668	NA	NA	NA	NA	NA	top1	0.24	2.54	0.0112	0.0647002898550725	top1	0.15	-1.89	0.0584	0.77648275862069
seq.10584.7	-2.301	0.02137	---+	50.8	0.107	0.128265468085106	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUS4	NDUFS4	enet	0.64	-0.634	0.526	0.966509207365893	lasso	0.25	-0.833	0.405	0.927236842105263	enet	0.7	-2.5	0.0123	0.0686663865546218	lasso	0.53	2.01	0.0447	0.761604166666667
seq.4807.13	2.296	0.0217	???+	0	1	0.129969639065817	Collagen alpha-1(VIII) chain	CO8A1	COL8A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.027	2.29	0.0217	0.761604166666667
seq.9082.25	2.286	0.02228	+?+-	59.2	0.08595	0.132998520084567	Protein sel-1 homolog 2	SE1L2	SEL1L2	blup	0.074	0.481	0.631	0.966509207365893	NA	NA	NA	NA	NA	top1	0.077	2.64	0.00822	0.055159797979798	lasso	0.012	-1.71	0.0877	0.847807947019868
seq.7810.20	-2.285	0.0223	-+-?	0	0.4919	0.132998520084567	Complement C1q tumor necrosis factor-related protein 5	C1QTNF5	C1QTNF5	blup	0.05	-0.467	0.641	0.966509207365893	lasso	0.074	0.289	0.773	0.985826347305389	enet	0.059	-2.52	0.0118	0.0668107954545454	NA	NA	NA	NA	NA
seq.8303.102	-2.28	0.0226	?-??	0	1	0.134503375527426	UPF0160 protein MYG1, mitochondrial	MYG1	MYG1	NA	NA	NA	NA	NA	top1	0.12	-2.28	0.0226	0.46124262295082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.3617.80	2.275	0.02288	+-++	0	0.6891	0.135883115789474	Hepatocyte growth factor activator	HGFA	HGFAC	enet	0.39	1.17	0.241	0.850778523489933	enet	0.37	-0.288	0.773	0.985826347305389	enet	0.53	2.27	0.0234	0.106475342465753	enet	0.48	0.227	0.82	0.989177168272795
seq.12451.62	2.273	0.02302	+?+-	66.9	0.04887	0.136318763102725	Transcription regulator protein BACH1	BACH1	BACH1	blup	0.076	0.597	0.55	0.966509207365893	NA	NA	NA	NA	NA	top1	0.058	2.64	0.00822	0.055159797979798	top1	0.062	-1.97	0.0494	0.761604166666667
seq.4154.57	-2.273	0.02305	?---	0	0.4967	0.136318763102725	P-selectin	P-Selectin	SELP	NA	NA	NA	NA	NA	blup	0.1	-1.9	0.057	0.674928440366973	lasso	0.14	-1.69	0.0901	0.266224704142012	enet	0.052	-0.262	0.793	0.989177168272795
seq.2474.54	-2.272	0.02311	-?-?	0	0.5331	0.136387677824268	Serum amyloid P-component	SAP	APCS	top1	0.038	-1.31	0.19	0.797349206349206	NA	NA	NA	NA	NA	enet	0.03	-1.96	0.0503	0.180660431654676	NA	NA	NA	NA	NA
seq.11275.94	2.269	0.02327	+?+-	67.9	0.04454	0.137045240083507	Low-density lipoprotein receptor-related protein 1B	LRP1B	LRP1B	top1	0.21	0.934	0.35	0.941969387755102	NA	NA	NA	NA	NA	top1	0.28	2.54	0.0112	0.0647002898550725	enet	0.19	-2.02	0.0438	0.761604166666667
seq.16015.19	2.267	0.02341	-?+?	58.7	0.1196	0.137582520833333	Alanine aminotransferase 1	ALT	GPT	enet	0.16	-0.759	0.448	0.966509207365893	NA	NA	NA	NA	NA	top1	0.058	2.64	0.00822	0.055159797979798	NA	NA	NA	NA	NA
seq.4407.10	2.266	0.02346	+-++	0	0.7591	0.13758972972973	Hepatocyte growth factor-like protein	MSP	MST1	enet	0.66	0.882	0.378	0.945299524564184	lasso	0.27	-0.036	0.971	0.990517587939699	enet	0.7	2.08	0.0377	0.14732568627451	blup	0.5	1.1	0.271	0.921247563352827
seq.13622.16	-2.264	0.0236	?-??	0	1	0.138123651452282	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	2A5A	PPP2R5A	NA	NA	NA	NA	NA	lasso	0.025	-2.26	0.0236	0.463625806451613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.17153.46	2.261	0.02377	+++-	53.5	0.09158	0.138830579710145	Killer cell immunoglobulin-like receptor 2DL3	KI2L3	KIR2DL3	enet	0.26	1.9	0.057	0.604189189189189	blup	0.23	2.27	0.023	0.46124262295082	lasso	0.31	1.29	0.198	0.442392376681614	enet	0.24	-1.06	0.291	0.921247563352827
seq.18871.24	-2.253	0.02423	+---	0	0.5884	0.14105	Allograft inflammatory factor 1-like	AIF1L	AIF1L	top1	0.092	0.235	0.814	0.968118384401114	enet	0.23	-1.17	0.243	0.8526	lasso	0.18	-1.92	0.055	0.19230701754386	lasso	0.17	-1.38	0.168	0.906975
seq.12401.3	-2.252	0.0243	??-?	0	1	0.14105	AMSH-like protease	STALP	STAMBPL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.013	-2.25	0.0243	0.109569909502262	NA	NA	NA	NA	NA
seq.9715.15	2.251	0.02439	++??	0	0.7198	0.14105	Immunoglobulin superfamily member 3	IGSF3	IGSF3	blup	0.053	1.75	0.0802	0.604189189189189	top1	0.04	1.46	0.144	0.786511210762332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.20408.11	-2.251	0.0244	???-	0	1	0.14105	Mitochondrial import receptor subunit TOM20 homolog	TOM20	TOMM20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.031	-2.25	0.0244	0.761604166666667
seq.11211.7	-2.251	0.0244	???-	0	1	0.14105	Tubulin-specific chaperone E	TBCE	TBCE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.032	-2.25	0.0244	0.761604166666667
seq.23384.19	-2.248	0.0246	-???	0	1	0.141740857142857	BTB/POZ domain-containing protein KCTD17	KCD17	KCTD17	enet	0.021	-2.25	0.0246	0.492185714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.15606.19	2.247	0.02462	+?+-	0	0.6408	0.141740857142857	Keratin, type I cytoskeletal 19	Keratin 19	KRT19	top1	0.099	0.578	0.564	0.966509207365893	NA	NA	NA	NA	NA	enet	0.12	2.32	0.0204	0.0961163120567376	lasso	0.11	-0.481	0.631	0.989177168272795
seq.20959.12	2.245	0.02477	-+++	45.2	0.1402	0.14231399185336	Dual specificity protein phosphatase 18	DUS18	DUSP18	lasso	0.18	-1.45	0.147	0.755589576547231	blup	0.045	1.4	0.162	0.815314285714286	lasso	0.075	2.28	0.0227	0.103763990825688	top1	0.018	1.12	0.261	0.906975
seq.12667.2	-2.243	0.0249	??-?	0	1	0.142770121951219	Guanine deaminase	GUAD	GDA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.046	-2.24	0.0249	0.111769594594595	NA	NA	NA	NA	NA
seq.24321.67	-2.238	0.0252	-?--	0	0.9478	0.14389375	Nuclear prelamin A recognition factor	NARF	NARF	enet	0.12	-0.393	0.695	0.966509207365893	NA	NA	NA	NA	NA	top1	0.13	-2.2	0.0281	0.119410021321962	top1	0.13	-0.376	0.707	0.989177168272795
seq.3179.51	-2.238	0.02523	??-+	0	0.4799	0.14389375	Lysosomal protective protein	Cathepsin A	CTSA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.094	-2.33	0.0196	0.0934516746411483	top1	0.067	0.244	0.807	0.989177168272795
seq.21979.12	2.237	0.0253	??+?	0	1	0.14389375	Integrin alpha-6	Integrin a6	ITGA6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.014	2.24	0.0253	0.112300445434298	NA	NA	NA	NA	NA
seq.5752.63	-2.237	0.0253	??-?	0	1	0.14389375	Sushi domain-containing protein 3	SUSD3	SUSD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.041	-2.24	0.0253	0.112300445434298	NA	NA	NA	NA	NA
seq.20576.71	2.231	0.0257	??+?	0	1	0.1455636	Frizzled-7	FZD7	FZD7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.014	2.23	0.0257	0.113570066518847	NA	NA	NA	NA	NA
seq.12663.1	-2.229	0.02578	-?-+	66.9	0.04859	0.1455636	Thiosulfate sulfurtransferase	THTR	TST	lasso	0.35	-0.723	0.47	0.966509207365893	NA	NA	NA	NA	NA	enet	0.51	-2.56	0.0105	0.0647002898550725	lasso	0.34	1.99	0.0469	0.761604166666667
seq.5035.7	-2.229	0.0258	-???	0	1	0.1455636	Thymidylate synthase	TS	TYMS	lasso	0.03	-2.23	0.0258	0.492185714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.13507.51	2.229	0.0258	+++-	0	0.8186	0.1455636	Tumor necrosis factor receptor type 1-associated DEATH domain protein	TRADD	TRADD	top1	0.081	0.679	0.497	0.966509207365893	lasso	0.091	0.15	0.881	0.986247440273038	enet	0.083	2.31	0.0208	0.0968690697674418	top1	0.1	-0.265	0.791	0.989177168272795
seq.21771.47	2.226	0.026	-+++	0	0.6789	0.146399201596806	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	MGAT3	MGAT3	lasso	0.14	-0.392	0.695	0.966509207365893	lasso	0.28	1.39	0.164	0.815314285714286	top1	0.34	2.05	0.0405	0.152295283018868	top1	0.31	0.428	0.669	0.989177168272795
seq.6961.14	2.224	0.02617	-?+?	64.8	0.0919	0.147062888446215	Insulin growth factor-like family member 3	IGFL3	IGFL3	lasso	0.043	-0.895	0.371	0.945287539936102	NA	NA	NA	NA	NA	top1	0.064	2.64	0.00822	0.055159797979798	NA	NA	NA	NA	NA
seq.20936.8	-2.22	0.02644	--??	0	0.6663	0.148284771371769	Putative deoxyribonuclease TATDN3	TATD3	TATDN3	enet	0.082	-1.13	0.257	0.868406852248394	lasso	0.051	-1.96	0.0504	0.655646808510638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.9853.3	2.216	0.0267	??++	0	0.7368	0.149205762376238	Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	IFIT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.17	2.24	0.0252	0.112300445434298	blup	0.081	0.114	0.909	0.989177168272795
seq.10047.12	-2.216	0.02671	-?-+	66.6	0.05014	0.149205762376238	Neutrophil cytosol factor 2	NCF-2	NCF2	top1	0.11	-0.575	0.566	0.966509207365893	NA	NA	NA	NA	NA	top1	0.2	-2.59	0.00962	0.061648424437299	top1	0.082	1.97	0.0494	0.761604166666667
seq.5131.15	-2.212	0.027	-???	0	1	0.15052766798419	Tumor necrosis factor receptor superfamily member 19	TAJ	TNFRSF19	blup	0.04	-2.21	0.027	0.495418604651163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.13707.27	2.21	0.02709	--++	49.7	0.1136	0.150731538461538	SPARC-like protein 1	SPARCL1	SPARCL1	lasso	0.091	-0.0137	0.989	0.997215335463259	top1	0.038	-1.38	0.168	0.828437246963563	enet	0.1	2.93	0.00336	0.055159797979798	top1	0.14	0.586	0.558	0.970738423028786
seq.2837.3	-2.209	0.0272	??--	0	0.5928	0.151045669291339	Hepatocyte growth factor receptor	Met	MET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.096	-2.06	0.0397	0.151865834932821	enet	0.023	-0.967	0.334	0.921247563352827
seq.9328.55	2.208	0.02727	+-++	12.4	0.3308	0.151136876227898	MHC class I polypeptide-related sequence B	MICB	MICB	blup	0.048	0.482	0.63	0.966509207365893	blup	0.045	-0.963	0.335	0.899446153846154	lasso	0.16	2.6	0.00931	0.061035625	blup	0.098	0.611	0.541	0.962171136653895
seq.5628.21	2.204	0.02753	??+-	24	0.2515	0.15227868627451	Semaphorin-3G	SEM3G	SEMA3G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.036	2.39	0.0169	0.0852701265822785	top1	0.033	-0.682	0.495	0.953709468223087
seq.13733.5	2.199	0.02787	??+-	27	0.2419	0.153612265625	Interleukin-12 subunit beta	IL-12 p40	IL12B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.18	2.39	0.0169	0.0852701265822785	lasso	0.13	-0.706	0.48	0.953709468223087
seq.3470.1	-2.199	0.02788	+---	0	0.5617	0.153612265625	E-selectin	sE-Selectin	SELE	top1	0.23	0.537	0.591	0.966509207365893	top1	0.29	-1.06	0.29	0.864482926829268	lasso	0.39	-2.05	0.0403	0.152295283018868	top1	0.26	-1.13	0.259	0.906975
seq.2611.72	-2.197	0.02803	-??-	43.1	0.1851	0.154137680311891	Tyrosine-protein kinase receptor TYRO3	Dtk	TYRO3	top1	0.033	-2.57	0.0103	0.361186666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.021	-0.0164	0.987	0.997020968908171
seq.8918.64	-2.196	0.02812	+?--	41.3	0.182	0.154331750972763	Protein-tyrosine kinase 2-beta:Focal adhesion targeting domain	FAK2:FAT	PTK2B	lasso	0.12	1.06	0.288	0.904387351778656	NA	NA	NA	NA	NA	top1	0.098	-2.57	0.0103	0.0645531446540881	enet	0.26	-0.719	0.472	0.953709468223087
